Business Sector,Type,Year_2000,Year_2001,Year_2002,Year_2003,Year_2004,Year_2005,Year_2006,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017
Agriculture Fishing Forestry Mining & Quarrying,Total Sales,440,497,548,477,389,334,480,377,352,340,377,401,385,397,451,472,480,488
Food Drink & Tobacco,Total Sales,13318,13910,14022,15002,14664,15259,16057,17335,18521,15843,15364,16503,18007,19294,20958,20947,21031,22019
Textiles Clothing Footware & Leather,Total Sales,938,952,865,590,494,452,391,400,346,300,299,355,345,373,396,451,483,509
Wood & Wood Products,Total Sales,799,955,844,947,1053,1059,1095,1000,739,496,549,731,605,814,971,1115,1084,1150
Paper & Printing,Total Sales,995,971,943,920,879,786,816,769,753,663,547,658,641,630,657,720,727,781
Chemicals,Total Sales,18980,21366,28039,25395,27329,28998,28312,31836,32449,36454,40045,41530,38645,34087,33256,39965,42360,43474
Rubber & Plastics,Total Sales,1357,1326,1353,1389,1502,1584,1746,1817,1707,1402,1496,1600,1585,1653,1712,1994,2071,2210
Non-Metalic Minerals,Total Sales,1871,1891,1971,1950,2081,2075,2411,2589,2146,1284,1196,1180,1118,1098,1371,1600,1663,1730
Basic & Fabricated Metal Products,Total Sales,1755,1740,1644,1665,1646,1730,2010,1992,2259,1328,1460,1583,1513,1599,1763,1992,2056,2321
Computer Electronic & Optical Products,Total Sales,20345,19998,16476,15472,16436,16723,20681,20018,19244,9554,8683,9418,9588,9132,9844,12752,13674,13712
Electrical equipment,Total Sales,1346,1544,1172,987,1359,1621,1442,1456,1383,791,885,968,1080,1031,1120,1491,1814,1867
Machinery & Equipment,Total Sales,2422,2503,2254,2388,2247,2360,2390,2555,2372,1743,1857,2140,2331,2448,2733,3121,3278,3370
Transport Equipment,Total Sales,890,926,887,837,806,825,969,1087,998,667,857,995,985,998,951,980,1028,1046
Medical Device Manufacturing,Total Sales,3363,4500,4764,5390,5530,6123,5260,5809,6393,6909,7413,8386,8958,8721,8838,8849,9128,9374
Other Misc. Manufacturing,Total Sales,796,845,832,823,859,879,875,871,852,633,555,566,592,625,700,854,901,978
Energy,Total Sales,23,27,31,25,16,19,49,94,76,44,56,91,94,79,85,98,100,114
Recycling & Waste,Total Sales,22,50,24,22,61,96,302,376,337,346,360,435,424,213,243,254,262,269
Construction (Excl. EI Amendments),Total Sales,814,851,870,907,1047,1221,1450,1476,1626,1037,634,311,348,490,629,747,856,1015
Construction (EI Amendments),Total Sales,1684,1684,2056,1929,2248,2503,2909,3339,4067,3116,2241,2480,2358,2622,2829,3198,3869,4239
Publishing Broadcasting & Telecommunications,Total Sales,254,281,270,270,267,266,259,374,307,308,396,417,438,510,654,822,833,1030
Computer Programming,Total Sales,20896,22275,21818,23338,22328,21582,23954,24468,26498,25936,27217,31732,36256,38479,42029,45191,47248,47608
Computer Consultancy,Total Sales,3452,3354,3153,3189,3487,5244,8752,11811,12348,11830,12003,14762,18021,19550,21170,25922,30057,30393
Computer Facilities Management,Total Sales,2104,2152,2474,2940,3360,5291,5493,5963,5538,4524,4404,4476,4886,5150,5176,5896,6172,6438
Other IT & Computer Services,Total Sales,446,582,650,647,396,540,709,1039,1073,1240,2227,2816,4220,6432,9358,13101,18378,19163
Financial Services,Total Sales,1438,1379,1732,2324,2837,3200,3605,4649,4338,4572,3501,3580,2789,2879,3101,3889,4257,4573
Business Services,Total Sales,727,978,1226,1164,1364,1584,2200,1592,2389,2121,2107,2048,2248,2433,2965,3873,4625,5041
Education,Total Sales,149,136,155,196,177,230,227,249,251,242,289,317,315,388,443,481,534,588
Other Services,Total Sales,1435,1033,523,846,797,714,480,660,753,805,873,867,1046,1182,1452,2021,2676,3322
