"Longitude","Latitude","Location","Crime.type","Postcode","Town","County"
-6.003289,54.551654,"Salisbury Place","Anti-social behaviour","BT179RZ","DUNMURRY","ANTRIM"
-5.707979,54.592305,"Connswater Street","Anti-social behaviour",,,
-5.815976,54.731606,"Milebush Park","Anti-social behaviour","BT387QR","CARRICKFERGUS","ANTRIM"
-6.393411,54.197876,"College Square North","Anti-social behaviour","BT16AR","BELFAST","ANTRIM"
-6.251798,54.859702,"Staffa Drive","Anti-social behaviour","BT424EH","BALLYMENA","ANTRIM"
-7.206893,54.622652,"Killyclogher Road","Anti-social behaviour","BT790AX","OMAGH","TYRONE"
-5.915793,54.592416,"Ravenhill Reach","Anti-social behaviour","BT68RA","BELFAST","DOWN"
-5.535389,54.487919,"Connswater Street","Anti-social behaviour",,,
-7.322812,54.999402,"Great James Street","Anti-social behaviour","BT487BZ","LONDONDERRY","LONDONDERRY"
-5.95467,54.615677,"Jamaica Road","Anti-social behaviour","BT147QW","BELFAST","ANTRIM"
-6.707998,55.187033,"Station Road","Anti-social behaviour","BT41RF","BELFAST","DOWN"
-6.049408,54.513538,"Antrim Street","Anti-social behaviour","BT281AU","LISBURN","ANTRIM"
-5.709197,54.597064,"Westland Drive","Anti-social behaviour","BT222TH","BALLYWALTER","DOWN"
-5.968582,54.600879,"Watermouth Crescent","Anti-social behaviour","BT127FH","BELFAST","ANTRIM"
-6.65232,55.203902,"Dunluce Street","Anti-social behaviour","BT401JG","LARNE","ANTRIM"
-5.937312,54.61115,"Kinnaird Terrace","Anti-social behaviour","BT146BN","BELFAST","ANTRIM"
-5.749253,54.767826,"Connswater Street","Anti-social behaviour",,,
-5.693269,54.648005,"Clandeboye Drive","Anti-social behaviour","BT54PF","BELFAST","DOWN"
-6.658618,55.148312,"Woodburn Crescent","Anti-social behaviour","BT717DD","DUNGANNON","TYRONE"
-5.672675,54.659957,"Dufferin Avenue","Anti-social behaviour","BT203AB","BANGOR","DOWN"
-6.36561,54.444859,"Hillcrest Manor","Anti-social behaviour","BT655BX","CRAIGAVON","ARMAGH"
-5.70894,54.316006,"Ballymote Park","Anti-social behaviour","BT306RW","DOWNPATRICK","DOWN"
-6.351824,54.891512,"Connswater Street","Anti-social behaviour",,,
